Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
1-Jul-15,University of TX-Pan American-S. Padre Island,Cameron,Cameron County WDA,345,31-Aug-15,1-Jul-15,S Padre Island
1-Jul-15,University of TX-Pan American-Rio Grande City,Starr,South Texas WDA,345,31-Aug-15,1-Jul-15,Rio Grande City
1-Jul-15,University of TX-Pan American-McAllen,Hidalgo,Lower Rio Grande Valley WDA,345,31-Aug-15,1-Jul-15,McAllen
30-Jun-15,Xerox Commercial Solutions - Wichita Falls,Wichita,North Texas WDA,257,28-Aug-15,30-Jun-15,Wichita Falls
30-Jun-15,Christus Health Southeast TX,Jefferson,South East Texas WDA,162,1-Sep-15,30-Jun-15,Port Arthur
29-Jun-15,University of Texas at Brownsville (UTB),Cameron,Cameron County WDA,1141,31-Aug-15,29-Jun-15,Brownsville
26-Jun-15,"Marvell Semiconductor, Inc.-Austin Design Center",Travis,Capital Area WDA,52,25-Aug-15,26-Jun-15,Austin
24-Jun-15,Avnet,Dallas,Dallas County WDA,68,24-Aug-15,24-Jun-15,Coppell
24-Jun-15,Boeing Company,Harris,Gulf Coast WDA,3,21-Aug-15,24-Jun-15,Houston
19-Jun-15,Sears Holdings Unit 2507 &  6644,Hidalgo,Lower Rio Grande Valley WDA,132,1-Nov-15,19-Jun-15,McAllen
16-Jun-15,APM Terminals,Harris,Gulf Coast WDA,109,24-Jul-15,16-Jun-15,La Porte
15-Jun-15,Containment Solutions Inc.,Montgomery,Gulf Coast WDA,62,1-Sep-15,15-Jun-15,Conroe
10-Jun-15,CDI HS-Woodsboro,Refugio,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Woodsboro
10-Jun-15,CDI HS-Skidmore,Bee,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Skidmore
10-Jun-15,CDI HS-Beeville2,Bee,Gulf Coast WDA,8,31-Jul-15,10-Jun-15,Beeville
10-Jun-15,CDI HS-Refugio,Refugio,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Refugio
10-Jun-15,CDI HS-George West,Live Oak,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,George West
10-Jun-15,CDI HS-Goliad,Goliad,Golden Crescent WDA,9,31-Jul-15,10-Jun-15,Goliad
10-Jun-15,CDI HS-Beeville,Bee,Gulf Coast WDA,9,31-Jul-15,10-Jun-15,Beeville
4-Jun-15,Goldstar Transit,Travis,Capital Area WDA,69,31-Jul-15,4-Jun-15,Manor
3-Jun-15,PM Realty Group LP (PMRG)-Smith,Harris,Dallas County WDA,21,31-Jul-15,3-Jun-15,Houston
3-Jun-15,PM Realty Group LP (PMRG) Smith St,Harris,Gulf Coast WDA,5,31-Jul-15,3-Jun-15,Houston
3-Jun-15,PM Realty Group LP (PMRG),Harris,Gulf Coast WDA,26,31-Jul-15,3-Jun-15,Houston
2-Jun-15,Speedy Stop Food Stores,Victoria,Golden Crescent WDA,84,31-Jul-15,2-Jun-15,Victoria
1-Jun-15,Aramark-Allen,Collin,North Central Texas WDA,114,30-Jun-15,1-Jun-15,Allen
1-Jun-15,Horizon Lines Inc.,Dallas,Dallas County WDA,114,31-Jul-15,1-Jun-15,Irving
27-May-15,"Shamrock Precision Operations, LLC",Harris,Gulf Coast WDA,41,31-May-15,27-May-15,Houston
27-May-15,"Magnum Precision Operations, LLC",Harris,Gulf Coast WDA,83,31-May-15,27-May-15,Houston
27-May-15,"Axion Services, LLC",Harris,Gulf Coast WDA,14,31-May-15,27-May-15,Houston
27-May-15,Ocwen Financial Corp.-Litton Loan Servicing (LLS) LP,Harris,Gulf Coast WDA,141,31-Jul-15,27-May-15,Houston
27-May-15,ThermoFisher Scientific-Sugarland,Fort Bend,Gulf Coast WDA,52,31-May-15,27-May-15,Sugar Land
27-May-15,Boeing Company,Harris,Gulf Coast WDA,8,24-Jul-15,27-May-15,Houston
26-May-15,Hodges Trucking,Johnson,North Central Texas WDA,67,25-Jul-15,26-May-15,Alvarado
26-May-15,GDC Technics,Bexar,Alamo WDA,162,31-Jul-15,26-May-15,San Antonio
18-May-15,Gulf Marine Fabricators - Aransas Pass,San Patricio,Coastal Bend WDA,554,20-Jul-15,18-May-15,Aransas Pass
18-May-15,"Blue Bell Creameries, L.P.",Washington,Brazos Valley WDA,341,29-May-15,18-May-15,Brenham
15-May-15,Albertsons #2587,Tarrant,Tarrant County WDA,45,20-Jun-15,15-May-15,Arlington
15-May-15,Ryder-Haltom City,Tarrant,Tarrant County WDA,95,15-May-15,15-May-15,Haltom City
15-May-15,Access Mediquip,Harris,Gulf Coast WDA,40,1-May-15,15-May-15,Houston
14-May-15,"TIC Energy & Chemical, Inc-(TEC) -Freeport",Brazoria,Gulf Coast WDA,500,31-May-15,14-May-15,Freeport
13-May-15,"Danbury Aerospace, Inc. (DAI)",Bexar,Alamo WDA,106,6-Jul-15,13-May-15,San Antonio
12-May-15,Select Medical Corp.,Harris,Gulf Coast WDA,222,3-Jul-15,12-May-15,Houston
7-May-15,"Capital One Services, Inc.",Dallas,Dallas County WDA,299,4-Jul-15,7-May-15,Irving
5-May-15,Child Care Associates,Tarrant,Tarrant County WDA,75,4-Jul-15,5-May-15,Ft. Worth
5-May-15,HOWCO,Dewitt,Golden Crescent WDA,32,28-Apr-15,5-May-15,Yorktown
4-May-15,Valmont Brenham,Washington,Brazos Valley WDA,173,4-Jul-15,4-May-15,Brenham
1-May-15,Whole Foods Market-Houston,Harris,Gulf Coast WDA,100,3-Jul-15,1-May-15,Houston
1-May-15,Celebrating Home,Harrison,East Texas WDA,80,31-Jul-15,1-May-15,Marshall
1-May-15,Austin American Statesman,Travis,Capital Area WDA,103,13-Jul-15,1-May-15,Austin
29-Apr-15,Aramark-Texarkana,Bowie,North East Texas WDA,105,30-Jun-15,29-Apr-15,Texarkana
29-Apr-15,Aramark-Atlanta,Cass,North East Texas WDA,5,30-Jun-15,29-Apr-15,Atlanta
